Event,Subject,Gender,Author Gender,Story Genre
begin,she,F,Female,ChildrensLiterature
go,she,F,Female,ChildrensLiterature
promote,he,M,Female,ChildrensLiterature
prevent,her,F,Female,ChildrensLiterature
suffer,she,F,Female,ChildrensLiterature
do,she,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
spring,she,F,Female,ChildrensLiterature
look,she,F,Female,ChildrensLiterature
watch,he,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
seem,she,F,Female,ChildrensLiterature
ride,she,F,Female,ChildrensLiterature
mean,she,F,Female,ChildrensLiterature
want,her,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
tell,her,F,Female,ChildrensLiterature
ride,she,F,Female,ChildrensLiterature
exclude,she,F,Female,ChildrensLiterature
reach,she,F,Female,ChildrensLiterature
go,she,F,Female,ChildrensLiterature
deny,she,F,Female,ChildrensLiterature
reply,he,M,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
get,she,F,Female,ChildrensLiterature
have,she,F,Female,ChildrensLiterature
come,she,F,Female,ChildrensLiterature
walk,she,F,Female,ChildrensLiterature
oblige,her,F,Female,ChildrensLiterature
oblige,she,F,Female,ChildrensLiterature
knock,she,F,Female,ChildrensLiterature
ride,she,F,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
ride,she,F,Female,ChildrensLiterature
overhear,her,F,Female,ChildrensLiterature
catch,she,F,Female,ChildrensLiterature
keep,him,M,Female,ChildrensLiterature
oblige,her,F,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
consider,she,F,Female,ChildrensLiterature
leave,she,F,Female,ChildrensLiterature
have,she,F,Female,ChildrensLiterature
neglect,she,F,Female,ChildrensLiterature
lean,she,F,Female,ChildrensLiterature
retreat,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
know,her,F,Female,ChildrensLiterature
go,she,F,Female,ChildrensLiterature
walk,him,M,Female,ChildrensLiterature
suit,him,M,Female,ChildrensLiterature
meet,him,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
convince,her,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
spare,her,F,Female,ChildrensLiterature
come,her,F,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
assure,her,F,Female,ChildrensLiterature
claim,he,M,Female,ChildrensLiterature
complain,he,M,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
go,her,F,Female,ChildrensLiterature
stay,she,F,Female,ChildrensLiterature
expect,she,F,Female,ChildrensLiterature
address,he,M,Female,ChildrensLiterature
keep,her,F,Female,ChildrensLiterature
continue,he,M,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
take,her,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
arrange,she,F,Female,ChildrensLiterature
tell,her,F,Female,ChildrensLiterature
give,she,F,Female,ChildrensLiterature
give,him,M,Female,ChildrensLiterature
nee,she,F,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
walk,he,M,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
forego,he,M,Female,ChildrensLiterature
restore,him,M,Female,ChildrensLiterature
step,she,F,Female,ChildrensLiterature
invite,she,F,Female,ChildrensLiterature
desire,she,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
gain,he,M,Female,ChildrensLiterature
turn,he,M,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
tell,she,F,Female,ChildrensLiterature
observe,she,F,Female,ChildrensLiterature
believe,she,F,Female,ChildrensLiterature
succeed,he,M,Female,ChildrensLiterature
guess,she,F,Female,ChildrensLiterature
look,she,F,Female,ChildrensLiterature
add,she,F,Female,ChildrensLiterature
know,she,F,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
chuse,he,M,Female,ChildrensLiterature
address,she,F,Female,ChildrensLiterature
prepare,her,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
unanswere,she,F,Female,ChildrensLiterature
need,he,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
ask,him,M,Female,ChildrensLiterature
give,he,M,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
talk,she,F,Female,ChildrensLiterature
stand,he,M,Female,ChildrensLiterature
look,she,F,Female,ChildrensLiterature
receive,she,F,Female,ChildrensLiterature
pity,her,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
bring,she,F,Female,ChildrensLiterature
escape,her,F,Female,ChildrensLiterature
head,he,M,Female,ChildrensLiterature
ought,he,M,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
take,she,F,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
observe,her,F,Female,ChildrensLiterature
fatigue,her,F,Female,ChildrensLiterature
know,she,F,Female,ChildrensLiterature
rest,she,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
reason,he,M,Female,ChildrensLiterature
calculate,she,F,Female,ChildrensLiterature
compare,she,F,Female,ChildrensLiterature
smile,she,F,Female,ChildrensLiterature
rest,she,F,Female,ChildrensLiterature
urge,her,F,Female,ChildrensLiterature
resist,she,F,Female,ChildrensLiterature
leave,she,F,Female,ChildrensLiterature
watch,she,F,Female,ChildrensLiterature
begin,she,F,Female,ChildrensLiterature
listen,she,F,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
hear,she,F,Female,ChildrensLiterature
satisfy,she,F,Female,ChildrensLiterature
want,she,F,Female,ChildrensLiterature
tell,she,F,Female,ChildrensLiterature
resume,she,F,Female,ChildrensLiterature
propose,he,M,Female,ChildrensLiterature
see,he,M,Female,ChildrensLiterature
bring,he,M,Female,ChildrensLiterature
bring,he,M,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
set,he,M,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
reply,he,M,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
walk,she,F,Female,ChildrensLiterature
follow,he,M,Female,ChildrensLiterature
follow,her,F,Female,ChildrensLiterature
tell,him,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
cry,she,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
remain,she,F,Female,ChildrensLiterature
seem,she,F,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
forget,her,F,Female,ChildrensLiterature
rouse,she,F,Female,ChildrensLiterature
expect,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
ask,her,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
see,him,M,Female,ChildrensLiterature
post,he,M,Female,ChildrensLiterature
scramble,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
do,she,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
join,he,M,Female,ChildrensLiterature
join,her,F,Female,ChildrensLiterature
make,she,F,Female,ChildrensLiterature
mortify,he,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
walk,he,M,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
sit,he,M,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
long,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
follow,her,F,Female,ChildrensLiterature
follow,her,F,Female,ChildrensLiterature
staid,she,F,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
think,him,M,Female,ChildrensLiterature
know,she,F,Female,ChildrensLiterature
contradict,him,M,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
want,she,F,Female,ChildrensLiterature
get,he,M,Female,ChildrensLiterature
have,he,M,Female,ChildrensLiterature
discern,she,F,Female,ChildrensLiterature
encourage,her,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
walk,he,M,Female,ChildrensLiterature
leave,her,F,Female,ChildrensLiterature
resolve,she,F,Female,ChildrensLiterature
follow,she,F,Female,ChildrensLiterature
leave,her,F,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
talk,he,M,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
find,she,F,Female,ChildrensLiterature
take,her,F,Female,ChildrensLiterature
tell,her,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
make,she,F,Female,ChildrensLiterature
set,she,F,Female,ChildrensLiterature
set,him,M,Female,ChildrensLiterature
convince,him,M,Female,ChildrensLiterature
promise,him,M,Female,ChildrensLiterature
shew,he,M,Female,ChildrensLiterature
shew,her,F,Female,ChildrensLiterature
present,her,F,Female,ChildrensLiterature
feel,she,F,Female,ChildrensLiterature
look,she,F,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
comfort,her,F,Female,ChildrensLiterature
enable,her,F,Female,ChildrensLiterature
ought,she,F,Female,ChildrensLiterature
hand,her,F,Female,ChildrensLiterature
assist,her,F,Female,ChildrensLiterature
ask,her,F,Female,ChildrensLiterature
turn,she,F,Female,ChildrensLiterature
take,she,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
understand,she,F,Female,ChildrensLiterature
justify,him,M,Female,ChildrensLiterature
look,he,M,Female,ChildrensLiterature
unite,her,F,Female,ChildrensLiterature
choose,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
revive,she,F,Female,ChildrensLiterature
think,he,M,Female,ChildrensLiterature
laugh,she,F,Female,ChildrensLiterature
do,she,F,Female,ChildrensLiterature
influence,he,M,Female,ChildrensLiterature
ought,he,M,Female,ChildrensLiterature
meet,he,M,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
have,he,M,Female,ChildrensLiterature
escape,he,M,Female,ChildrensLiterature
escape,he,M,Female,ChildrensLiterature
think,him,M,Female,ChildrensLiterature
would,he,M,Female,ChildrensLiterature
preach,he,M,Female,ChildrensLiterature
quarrel,him,M,Female,ChildrensLiterature
trip,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
walk,she,F,Female,ChildrensLiterature
fall,she,F,Female,ChildrensLiterature
ask,she,F,Female,ChildrensLiterature
add,he,M,Female,ChildrensLiterature
continue,him,M,Female,ChildrensLiterature
here,she,F,Female,ChildrensLiterature
turn,he,M,Female,ChildrensLiterature
call,him,M,Female,ChildrensLiterature
arrive,he,M,Female,ChildrensLiterature
listen,she,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
want,she,F,Female,ChildrensLiterature
attract,him,M,Female,ChildrensLiterature
care,he,M,Female,ChildrensLiterature
believe,she,F,Female,ChildrensLiterature
accept,she,F,Female,ChildrensLiterature
accept,him,M,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
wish,him,M,Female,ChildrensLiterature
ought,he,M,Female,ChildrensLiterature
look,he,M,Female,ChildrensLiterature
return,he,M,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
miss,him,M,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
see,she,F,Female,ChildrensLiterature
make,she,F,Female,ChildrensLiterature
hazard,she,F,Female,ChildrensLiterature
say,she,F,Female,ChildrensLiterature
go,he,M,Female,ChildrensLiterature
take,him,M,Female,ChildrensLiterature
use,he,M,Female,ChildrensLiterature
like,she,F,Female,ChildrensLiterature
suspect,him,M,Female,ChildrensLiterature
admire,he,M,Female,ChildrensLiterature
admire,her,F,Female,ChildrensLiterature
make,he,M,Female,ChildrensLiterature
think,he,M,Female,ChildrensLiterature
find,he,M,Female,ChildrensLiterature
give,she,F,Female,ChildrensLiterature
notice,she,F,Female,ChildrensLiterature
know,she,F,Female,ChildrensLiterature
listen,she,F,Female,ChildrensLiterature
sit,she,F,Female,ChildrensLiterature
grieve,she,F,Female,ChildrensLiterature
speak,she,F,Female,ChildrensLiterature
look,she,F,Female,ChildrensLiterature
dance,she,F,Female,ChildrensLiterature
seem,he,M,Female,ChildrensLiterature
grow,he,M,Female,ChildrensLiterature
think,she,F,Female,ChildrensLiterature
come,he,M,Female,ChildrensLiterature
ask,her,F,Female,ChildrensLiterature
give,her,F,Female,ChildrensLiterature
part,he,M,Female,ChildrensLiterature
tell,he,M,Female,ChildrensLiterature
take,he,M,Female,ChildrensLiterature
wish,she,F,Female,ChildrensLiterature
say,he,M,Female,ChildrensLiterature
speak,he,M,Female,ChildrensLiterature
feel,her,F,Female,ChildrensLiterature
exclaim,he,M,Female,ChildrensLiterature
stop,her,F,Female,ChildrensLiterature
